Version,File Name,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,NR,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Buggy
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CookieTest.java,323.0,298.0,161.5,321.0,298.0,160.5,2.0,18.0,17.0,9.0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/HardLink.java,666.0,665.0,333.0,665.0,665.0,332.5,2.0,25.0,24.0,12.5,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerCreateDeleteTest.java,74.0,74.0,74.0,74.0,74.0,74.0,1.0,1.0,1.0,1.0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BKStats.java,236.0,236.0,236.0,236.0,236.0,236.0,1.0,11.0,11.0,11.0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactory.java,32.0,32.0,32.0,32.0,32.0,32.0,1.0,5.0,5.0,5.0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java,40.0,40.0,40.0,40.0,40.0,40.0,1.0,5.0,5.0,5.0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java,53.0,52.0,26.5,51.0,52.0,25.5,2.0,16.0,11.0,8.0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java,33.0,33.0,16.5,31.0,33.0,15.5,2.0,16.0,11.0,8.0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheBean.java,80.0,79.0,40.0,27.0,79.0,13.5,2.0,18.0,11.0,9.0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheMXBean.java,60.0,60.0,60.0,60.0,60.0,60.0,1.0,11.0,11.0,11.0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanInfo.java,27.0,27.0,27.0,27.0,27.0,27.0,1.0,1.0,1.0,1.0,NO
